file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0075_0013_96812_to_102931,ཡིན་ནས་ཞུ་འབོད་རྔ་དེ་ཉིན་ལྟར་རྡུང་མྱི་ཡོད་ན་ལགས།  ,yin nas zhu 'bod rnga de nyin ltar rdung myi yod na lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0075_0013_96812_to_102931.wav,STT_MV,3,50,6.119,wav16k/STT_MV0075_0013_96812_to_102931.wav,ཡིན་ནས་ཞུ་འབོད་ལྔ་དེ་ཉིན་ལྟར་བརྡུང་མྱི་ཡོད་ན་ལ།
STT_MV0075_0014_102931_to_106477,ཨོ། དེ་འདྲས་རྟག་པར་ཡོད་མ་རེད།  ,o/_de 'dras rtag par yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0075_0014_102931_to_106477.wav,STT_MV,3,31,3.546,wav16k/STT_MV0075_0014_102931_to_106477.wav,ཨོོ། དེ་འདྲས་རྟག་པར་ཡོད་མ་རེད།
STT_MV0641_0216_1454366_to_1461871,ང། ད་འདི་འདྲས་གསུང་མ་གནང་ད། བུ་མོ་ད་ལྟ་ངས་གཞི་ནས་ཧ་གོ་གིན ,nga/_da 'di 'dras gsung ma gnang da/_bu mo da lta ngas gzhi nas ha go gin_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0641_0216_1454366_to_1461871.wav,STT_MV,3,58,7.505,wav16k/STT_MV0641_0216_1454366_to_1461871.wav,ང་ད་དེ་འདྲས་གསུང་མ་གནང་ད། བུ་མོ། ད་ལྟ་ངས་གཞི་ནས་ཧ་གོ་གི
STT_MV0760_0066_429465_to_437974,ཧའེ་ཞའོ། འོག་མ་ཡག་པོ་བྱས་ལྟོས་ཨ། ངས་པ་ལགས་སྐད་བཏང་ག་ཕྱིན་དགོ། ཅོ་ཝོན་ཧྲེང། སུན་ལི། ཅོ་ཝོན་ཧྲེང། སུན་ལི།  ,ha'e zha'o/_'og ma yag po byas ltos a/_ngas pa lags skad btang ga phyin dgo/_co won hreng/_sun li/_co won hreng/_sun li/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0760_0066_429465_to_437974.wav,STT_MV,3,105,8.509,wav16k/STT_MV0760_0066_429465_to_437974.wav,ཧན་ཤོད། ལག་པ་ཡག་པོ་བྱས་ལྟོས་ཨ། ངས་པཱ་ལགས་སྐད་གཏང་ག་ཕྱིན་དགོས། ཇོ་ཝོན་ཧྲེང་། ཧན་ལེ། ཇོ་ཝོན་ཧྲིང།།
STT_MV0075_0004_37661_to_47660,ང་ཇུས་བཏོན་རོགས་བྱེད་མྱི་གཅིག་ཡིན། ངས་ཏུན་ཀྲུའུ་ལ་འགན་ཁུར་རིང་། ང་ཕན་ཐོགས་པོ་ཡོང་ས་རེད། ད་བྱེད་དུས་སྐུ་ཤོགས་ཀུང་སུང་ལགས་རེད་འདུག་ག ,nga jus bton rogs byed myi gcig yin/_ngas tun kru'u la 'gan khur ring /_nga phan thogs po yong sa red/_da byed dus sku shogs kung sung lags red 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0075_0004_37661_to_47660.wav,STT_MV,3,131,9.999,wav16k/STT_MV0075_0004_37661_to_47660.wav,ང་ཇུས་བཏོན་རོགས་བྱེད་མྱི་གཅིག་ཡིན། ངས་ཏུན་ཀྲུའུ་ལ་འགན་འཁུར་གི་རིང་ང་ཕན་ཐོགས་པོ་ཡོང་ས་རེད། ད་བྱེད་དུས་སྐུ་ཤོགས་ཀུང་སུང་ལགས་རེད་འདུག་ག
STT_MV0760_0085_557478_to_560368,ཧན་ཞའོ་ང་ཚོ་སྔོན་ལ་ལོག་འགྲོ།  ,han zha'o nga tsho sngon la log 'gro/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0760_0085_557478_to_560368.wav,STT_MV,3,30,2.89,wav16k/STT_MV0760_0085_557478_to_560368.wav,ཧན་ཤོད། ང་ཚོའི་སྔན་ལ་ལོག་འགྲོ
STT_MV0760_0086_570367_to_575472,དངོས་གནས་བསམ་བསམ་མ་བྱུང་། སྙིང་རྗེ་ཡ་འདྲ་ཞིག་འདུག ,dngos gnas bsam bsam ma byung /_snying rje ya 'dra zhig 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0760_0086_570367_to_575472.wav,STT_MV,3,50,5.105,wav16k/STT_MV0760_0086_570367_to_575472.wav,དངོས་གནས་བསམ་བསམ་མ་བྱུང་། སྙིང་རྗེ་དུང་ཟི
STT_MV0760_0089_609650_to_616889,མ་ངུ་ཤིག ཁ་ལ་ཉན་པོ་ཡོད་པ། ཧན་ཞའོ་ཨུ་གོ། མ་ངུ་ཨ། ཨུ་གོ། ཁ་ལ་ཉོན་ཤིགཨུ་གོ།  ,ma ngu shig_kha la nyan po yod pa/_han zha'o u go/_ma ngu a/_u go/_kha la nyon shigau go/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0760_0089_609650_to_616889.wav,STT_MV,3,74,7.239,wav16k/STT_MV0760_0089_609650_to_616889.wav,མ་ངུ་ཞིག ཁ་ལ་ཉན་གི་ཡོད་པ། ཧན་ཤོད། ཨུ་གོ མ་ངུ་ཨ། ཨུ་གོ ཁ་ལ་ཉོས་ཞོག ཨུ་གོ
STT_MV0760_0097_671016_to_681015,ཇོ་ཝོན་ཧྲེང་། དྲན་པ་གསོས་གནང་དང་། ཇོ་ཝོན་ཧྲེང་། ཇོ་ཝོན་ཧྲེང་དྲན་པ་གསོས་དང་། ང་ཞེད་སྣང་མ་བསྐུལ་དང་།  ,jo won hreng /_dran pa gsos gnang dang /_jo won hreng /_jo won hreng dran pa gsos dang /_nga zhed snang ma bskul dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0760_0097_671016_to_681015.wav,STT_MV,3,100,9.999,wav16k/STT_MV0760_0097_671016_to_681015.wav,ཇོ་ཝན་ཧྲིང་། དྲན་པ་སོས་ད། ཇོ་ཝོན་ཧྲིང་། ཇོ་ཝན་ཧྲིང་། ཇོ་ཝན་ཧྲིང། དྲན་པ་སོས་ད། ང་ཞེད་སྣང་མ་སྐོལ་དང།
STT_MV0760_0098_690884_to_695245,ཧྲེང་ལཱི།  ,hreng lI/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0760_0098_690884_to_695245.wav,STT_MV,3,11,4.361,wav16k/STT_MV0760_0098_690884_to_695245.wav,ཧྲུང་ལི། ཨ།
